timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-22 21:34:45,https://t.co/RZ7boMWLgM #BlackFriday #Black #Friday #eBOOK #download #gratis #leggere #Novembre #BlackFridaySale #BlackFridayDeal #BlackFridayWeek #CyberMonday #HotDeal #Book #BFD2019 #Amazon #Wish #Alibaba #shoppingonline #ecommerce #Vagiti di #DIO #lavoro #Umani vs #Robots #AI https://t.co/JHin3FrAVL,SalViVicidomini,"[u'BlackFriday', u'Black', u'Friday', u'eBOOK', u'download', u'gratis', u'leggere', u'Novembre', u'BlackFridaySale', u'BlackFridayDeal', u'BlackFridayWeek', u'CyberMonday', u'HotDeal', u'Book', u'BFD2019', u'Amazon', u'Wish', u'Alibaba', u'shoppingonline', u'ecommerce', u'Vagiti', u'DIO', u'lavoro', u'Umani', u'Robots', u'AI']",204
2019-11-22 20:05:05,https://t.co/RZ7boMWLgM #BlackFriday #Black #Friday #eBOOK #download #gratis #leggere #Novembre #BlackFridaySale #BlackFridayDeal #BlackFridayWeek #CyberMonday #HotDeal #Book #BFD2019 #Amazon #Wish #Alibaba #shoppingonline #ecommerce #Vagiti di #DIO #lavoro #Umani vs #Robots #AI https://t.co/nzdCLKYIoF,SalViVicidomini,"[u'BlackFriday', u'Black', u'Friday', u'eBOOK', u'download', u'gratis', u'leggere', u'Novembre', u'BlackFridaySale', u'BlackFridayDeal', u'BlackFridayWeek', u'CyberMonday', u'HotDeal', u'Book', u'BFD2019', u'Amazon', u'Wish', u'Alibaba', u'shoppingonline', u'ecommerce', u'Vagiti', u'DIO', u'lavoro', u'Umani', u'Robots', u'AI']",204
2019-11-22 16:27:38,"With Black Friday just a week away, what do you have your sights set on? Maybe it’s time for @hotfiya to finally pull the trigger on this item sitting in his Wish shopping cart! 🛍  🤔 @matylang @downstab #shopping #wish #blackfriday #podcast #bossrush https://t.co/OepIFWPj3w",inthirdperson,"[u'shopping', u'wish', u'blackfriday', u'podcast', u'bossrush']",94
