timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-27 23:58:50,It's almost #BlackFriday! If you’re doing your shopping online make sure to use #AmazonSmile at https://t.co/PrrAUJaNfC &amp; #Amazon will donate 0.5% of the price of your eligible purchase total to #BunkerLabs! https://t.co/KuLCiCFi4A https://t.co/pZKB2EKl4y,TheBunkerLabs,"[u'BlackFriday', u'AmazonSmile', u'Amazon', u'BunkerLabs']",7156
2019-11-27 23:58:32,Absolutely! 💯🛍 Everything's on sale here: https://t.co/OLBBLvxGUT  #ThatsOnSale #OnSale #Sale #BlackFridaySale #BlackFriday #OnlineShopping #adulting #Shopping #Sarcastic  #Sarcasm #ShoppingOnline #ShopOnline  #Shop #Teepublic #Etsy #Amazon #RetailTherapy #TwoFatChimps https://t.co/VJCVOz8td8,twofatchimps,"[u'ThatsOnSale', u'OnSale', u'Sale', u'BlackFridaySale', u'BlackFriday', u'OnlineShopping', u'adulting', u'Shopping', u'Sarcastic', u'Sarcasm', u'ShoppingOnline', u'ShopOnline', u'Shop', u'Teepublic', u'Etsy', u'Amazon', u'RetailTherapy', u'TwoFatChimps']",365
2019-11-27 23:55:39,"Great night presenting at the press launch of Amazon's Black Friday experience in Waterloo ... #lavazza #coffee #cocktails #amazon #blackfriday #events #london @ Waterloo, London https://t.co/qBCiy1i3Qx",davecutleruk,"[u'lavazza', u'coffee', u'cocktails', u'amazon', u'blackfriday', u'events', u'london']",243
2019-11-27 23:54:07,"RT @ brks_shopping #SONGMICS #Jewelry Box, Jewelry Organizer with 2 Drawers, Lockable Jewelry Case with Mirror, Portable Travel Case, for Rings, Bracelets, Earrings, Necklaces, Velvet Lining, #Gift   Buy From #Amazon : https://t.co/9lqsB2mwoK  Price: $39.99   #Women #BlackFriday #California #TEXAS",brks_shopping,"[u'SONGMICS', u'Jewelry']",201
2019-11-27 23:53:44,RT @ brks_shopping KING OF CHRISTMAS 6 Foot Prince Flock Artificial #Christmas #Tree Unlit  Buy From Amazon : https://t.co/WLiagHNFtr  Price:$128.00   #BlackFriday #NewYear2020 #TEXAS #California #USA #America #Amazon,brks_shopping,"[u'Christmas', u'Tree']",201
2019-11-27 23:53:05,"BLACK FRIDAY DEALS ON AMAZON!! Everyone's finding them. Use the link below, buy your #Amazon items, and Amazon will donate a small percentage to Love Thy Neighbor, Inc. #BlackFriday #AmazonSmile #MADEtobe #festive #LTNInc #iabm #iahm  … https://t.co/UrpgjTDRT3 https://t.co/WyR6Tt1FoW",be_u2fullymade,"[u'Amazon', u'BlackFriday', u'AmazonSmile', u'MADEtobe', u'festive', u'LTNInc', u'iabm', u'iahm']",5
2019-11-27 23:51:39,"If you really want to make the most of Amazon Black Friday, you need to be aware that not every deal advertised is going to save you a ton of money, and not every great deal is going to be right in your face: https://t.co/dHfLwgDmsN  #Amazon #BlackFriday #Shopping https://t.co/PtGuYFTOuL",NationalRelief_,"[u'Amazon', u'BlackFriday', u'Shopping']",7878
2019-11-27 23:51:35,RT @ goodbuysalltime #PawPatrol Toddler Boys Hooded Jacket &amp; Pants Set Size 4T Plus 6 Pack of No Show Socks #ad ➡️https://t.co/VBVZ3kMoT1⬅️ #BlackFriday #CyberMonday #Amazon #christmasgiftideas #GoodBuysAlltheTime https://t.co/TQaRRZ0OvU,Antiquebasket,"[u'PawPatrol', u'ad']",10771
2019-11-27 23:47:20,On today's @GlobalBC News #TechTalk we're getting ready for #BlackFriday in #Canada with all the latest #tech deals. Feat. offers from #Google #Amazon #Roku &amp; more! Link and video --&gt; https://t.co/Ct7Ii9Pfce https://t.co/U4EfRr1lwS,GetConnectedNow,"[u'TechTalk', u'BlackFriday', u'Canada', u'tech', u'Google', u'Amazon', u'Roku']",7689
2019-11-27 23:35:53,RT @ yorkiepuddings Pls💜RT #shop whilst supporting our #Autism #Charity this #BlackFriday with #AmazonSmile #Amazon 👌🏼⭐️Use the link below⬇️ #BlackFriday2019 #charity https://t.co/Q4hKuRhbZe…  #WednesdayWisdom @AnnaKennedy1  https://t.co/kHzcpzIUgE #AutismAwareness 💜 https://t.co/GPHBTdtKoS,BornAnxious2018,"[u'shop', u'Autism', u'Charity', u'BlackFriday', u'AmazonSmile', u'Amazon']",258
2019-11-27 23:30:23,KIOTA 2 In 1 Make Up Rolling Case | Trolling Cosmetic Organizer with Removable Drawers | Professiona https://t.co/GBvA27Gr73 #beauty #healthy #health #skincare #makeup #skin #maintenance #blackfriday #amazon @amazon https://t.co/yF6kNy97QG,SkinCareZero,"[u'beauty', u'healthy', u'health', u'skincare', u'makeup', u'skin', u'maintenance', u'blackfriday', u'amazon']",0
2019-11-27 23:30:01,Black Friday shopping? @Amazon will donate a portion of the proceeds to San Diego Youth Services when you shop on https://t.co/3boYngbWRi and choose us as your charity. No sign-up necessary. #buildingfutures #blackfriday #sdys #sdyouthservices #give #amazon https://t.co/7Ji15o5zVp,sdyouthservices,"[u'buildingfutures', u'blackfriday', u'sdys', u'sdyouthservices', u'give', u'amazon']",778
2019-11-27 23:29:06,"RT @ SupportPets When you do #OnlineShopping on #BlackFriday #SmileAmazon #Amazon #Donate to #PAWSFLORIDA! It is just a small %, but if you all would use this link:  https://t.co/AXh3G4kenJ then you all together would indeed #MakeADifference! Your help is crucial and appreciated! Thank YOU ! https://t.co/8crfjIxVHs",rhiannoncahill,"[u'OnlineShopping', u'BlackFriday', u'SmileAmazon', u'Amazon', u'Donate', u'PAWSFLORIDA']",1138
2019-11-27 23:28:38,"RT @ SupportPets https://t.co/AXh3G4kenJ #BlackFriday is here &amp; YES, each one of you can make a huge difference to #PAWSFLORIDA by saving this link for your #SmileAmazon #Amazon #Holiday #Gifts #OnlineShopping!You pay same price but you benefit #PAWS https://t.co/AXh3G4kenJ Thank you much!#PAWS https://t.co/jbd56B8mUg",rhiannoncahill,"[u'BlackFriday', u'PAWSFLORIDA']",1138
2019-11-27 23:27:57,"@amazon aka ""sold and shipped by #Amazon"" just shipped me a #counterfeit @HooverUSA to replace my #soldnewbutused #Hoover #Vacuum. See if you can spot the fake.  @CBP @CBPTradeGov #BlackFriday #CyberMonday https://t.co/iICO7GRIhM",PriceJohnMonroe,"[u'Amazon', u'counterfeit', u'soldnewbutused', u'Hoover', u'Vacuum', u'BlackFriday', u'CyberMonday']",0
2019-11-27 23:25:07,Unisex https://t.co/KNA5LJ83mi Helvetica No1 Regular Analog Swiss Quartz Black Leather Watch https://t.co/kPSJXtoeBe #watches #clock #jewelry #trends #fashion #thanksgiving #gifts @amazon #amazon #blackfriday https://t.co/FXU2PhlQ0G,humanwatches,"[u'watches', u'clock', u'jewelry', u'trends', u'fashion', u'thanksgiving', u'gifts', u'amazon', u'blackfriday']",6
2019-11-27 23:24:14,"RT @ AyaMac3 🤗🤗Lavievert Handmade Gray Felt Case Bag Sleeve with Orange Elastic Band for Apple 13"" MacBook Air / 13"" MacBook Pro,  🤓🤓Click here:https://t.co/c1WHXVslVa 🔥🔥#bag #laptop #laptopbag #blackfriday #amazon #sale #Deals https://t.co/STXRtwMCmG",itsontariokid,[],4015
2019-11-27 23:21:44,"RT @ MichelleRoseG33 https://t.co/QDprv49W2a #blackfriday #TV #toshiba #fire #amazon #ad #afflink #BlackFridayShoppingAdvice As an Amazon associate, I earn from qualifying purchases https://t.co/eii5pXHfX2",ToryRichards,"[u'blackfriday', u'TV', u'toshiba', u'fire', u'amazon', u'ad', u'afflink', u'BlackFridayShoppingAdvice']",7451
2019-11-27 23:21:35,RT @ goodbuysalltime Who Needs Santa 🎅 I Got Grandma Long Sleeve Red Christmas Bodysuit Size Newborn #ad https://t.co/rdoFXdKV8j #santaclaus #christmas #bodysuit #christmasgiftsideas #newborn #grandma #amazon #blackfriday #cybermonday #goodbuysallthetime https://t.co/vmSW5oVbze,Jennasm66663888,[u'ad'],11863
2019-11-27 23:18:37,Some of the few #AmazonBlackFriday deals I'm watching!   https://t.co/VLcBJ3TN6J  #Amazon #BlackFriday #BlackFridaySale #deals #specials #gaminglife,schnapps89,"[u'AmazonBlackFriday', u'Amazon', u'BlackFriday', u'BlackFridaySale', u'deals', u'specials', u'gaminglife']",159
2019-11-27 23:17:06,RT @ goodbuysalltime #PawPatrol Toddler Boys Hooded Jacket &amp; Pants Set Size 4T Plus 6 Pack of No Show Socks #ad ➡️https://t.co/VBVZ3kMoT1⬅️ #BlackFriday #CyberMonday #Amazon #christmasgiftideas #GoodBuysAlltheTime https://t.co/TQaRRZ0OvU,rbrosemer,"[u'PawPatrol', u'ad']",14726
2019-11-27 23:16:18,"Conomus Piano Keyboard Toy for Kids,1 2 3 4 Year Old Girls First Birthday Gift , 24 Keys Multifunctional Musical Electronic Toy Piano for Toddlers Price:$19.72 https://t.co/m1LhC3CBm9 #gadsessories #Amazon #BlackFriday https://t.co/LEeeoR8cOH",gadsessories,"[u'gadsessories', u'Amazon', u'BlackFriday']",404
2019-11-27 23:16:17,RT @ goodbuysalltime #PawPatrol Toddler Boys Royal Blue Hooded Jacket &amp; Pants Set Size 4T Plus 6 Pack of No Show Socks #ad ➡️https://t.co/9Kistk6OAR⬅️ #BlackFriday #CyberMonday #Amazon #christmasgiftideas #GoodBuysAlltheTime https://t.co/zCW7sRp5Gb,morewless,"[u'PawPatrol', u'ad']",64906
2019-11-27 23:08:23,"RT @ teagankearney It's late, but the tweeting must go on.  #BlackFriday $2.99 #BoxSet #Sale #urbanfantasy #paranormal #cozymystery #scifi #spaceopera #romanticsuspense #amazon #barnesandnoble #ibooks #kobo #smashwords. #enjoy! https://t.co/Cgxd4QZY3p",epiphN_E,"[u'BlackFriday', u'BoxSet', u'Sale', u'urbanfantasy', u'paranormal', u'cozymystery', u'scifi']",2312
2019-11-27 23:08:09,"RT @ AyaMac3 🤗🤗Lavievert Handmade Gray Felt Case Bag Sleeve with Orange Elastic Band for Apple 13"" MacBook Air / 13"" MacBook Pro,  🤓🤓Click here:https://t.co/c1WHXVslVa 🔥🔥#bag #laptop #laptopbag #blackfriday #amazon #sale #Deals https://t.co/STXRtwMCmG",hehehe00896571,[],3
2019-11-27 23:07:05,RT @ goodbuysalltime #PawPatrol Toddler Boys Hooded Jacket &amp; Pants Set Size 4T Plus 6 Pack of No Show Socks #ad ➡️https://t.co/VBVZ3kMoT1⬅️ #BlackFriday #CyberMonday #Amazon #christmasgiftideas #GoodBuysAlltheTime https://t.co/TQaRRZ0OvU,FunMoneyMom,"[u'PawPatrol', u'ad']",35758
2019-11-27 23:03:39,Abs Beat workout | Listen Exclusive fitness &amp; weight loss programs. Listen in the Audible app. Sign up for Free Today! https://t.co/Fjzbm1IztR #amazon @amazon #audible #abs #workout #fitness #loseweight #blackfriday #thanksgiving https://t.co/I3hd7lY8ex,ItShouldBeYour,"[u'amazon', u'audible', u'abs', u'workout', u'fitness', u'loseweight', u'blackfriday', u'thanksgiving']",74
2019-11-27 23:00:23,Huge Sales Star Wars Stormtrooper LED Philips Bed Side Table Lamp Only $6.10 While Stocks last! #StarWars #Sales #SWCC #501st @JediNewsUK #BlackFriday #Amazon #Christmas #stormtrooper #starwarsgalaxysedge  #TheRiseofSkywalker #TheMandalorian https://t.co/TaLH1Ty9Jo https://t.co/1mcbcT9qaP,PBC_ONLINE,"[u'StarWars', u'Sales', u'SWCC', u'501st', u'BlackFriday', u'Amazon', u'Christmas', u'stormtrooper', u'starwarsgalaxysedge', u'TheRiseofSkywalker', u'TheMandalorian']",3216
2019-11-27 22:59:11,"RT @ GMBWestMidlands On #BlackFriday, we want to give #Amazon workers at Rugeley a bit of a break  If you’re being treated like a robot at Rugeley, bring your Golden Ticket outside the main gate for free hot drink and food!  #AmazonWeAreNotRobots https://t.co/INkMB8eHhR",Tim_Roache,"[u'BlackFriday', u'Amazon']",8804
2019-11-27 22:55:27,"RT @ readeandwrite It's #BlackFriday and Lilly walks into her jewelry shop to find a body on the floor.   What else could possibly go wrong?  THE WORST NOEL  #Amazon: https://t.co/fHRfDHstyY  #Nook, #Kobo, etc.: https://t.co/sR37eFiCEr  #cozymystery #humor #recipes #Christmas #HolidaysAreComing https://t.co/EipuLcAADo",AuthorPearlTate,[u'BlackFriday'],18643
2019-11-27 22:55:17,RT @ goodbuysalltime #PawPatrol Toddler Boys Hooded Jacket &amp; Pants Set Size 4T Plus 6 Pack of No Show Socks #ad ➡️https://t.co/VBVZ3kMoT1⬅️ #BlackFriday #CyberMonday #Amazon #christmasgiftideas #GoodBuysAlltheTime https://t.co/TQaRRZ0OvU,WhisperAmber,"[u'PawPatrol', u'ad']",10076
2019-11-27 22:55:07,#BlackFriday Mark of Odin: The Awakening has reached the first positions in #ScieneFiction in Spanish! Now it's available in English for all of you! For free in ebook or to buy in #Amazon! #books #ebooks #sciencefiction #sagas https://t.co/LAilT2Yt05,MarkofOdin,"[u'BlackFriday', u'ScieneFiction', u'Amazon', u'books', u'ebooks', u'sciencefiction', u'sagas']",385
2019-11-27 22:54:19,"https://t.co/roJhMieudY #blackfridaydeals #blackfriday #amazon #ad #afflink #echo #echoshow #videodoorbell #ringvideodoorbell As an Amazon associate, I earn from qualifying purchases. https://t.co/emc7yYSak7",MichelleRoseG33,"[u'blackfridaydeals', u'blackfriday', u'amazon', u'ad', u'afflink', u'echo', u'echoshow', u'videodoorbell', u'ringvideodoorbell']",5442
2019-11-27 22:52:33,RT @ PBC_ONLINE Huge Sales Star Wars LED Philips Bed Side Table Lamp Only $9.30. While Stocks last! #StarWars #Christmas #Sales #SWCC #501st @JediNewsUK #BlackFriday #Amazon #DarthVader #TheRiseofSkywalker #TheMandalorian https://t.co/pLCH4r9k3i https://t.co/MYeXA1Vj1q,annasun1812,"[u'StarWars', u'Christmas', u'Sales', u'SWCC']",266
2019-11-27 22:52:15,"https://t.co/QDprv49W2a #blackfriday #TV #toshiba #fire #amazon #ad #afflink #BlackFridayShoppingAdvice As an Amazon associate, I earn from qualifying purchases https://t.co/eii5pXHfX2",MichelleRoseG33,"[u'blackfriday', u'TV', u'toshiba', u'fire', u'amazon', u'ad', u'afflink', u'BlackFridayShoppingAdvice']",5442
2019-11-27 22:51:44,"RT @ MichelleRoseG33 https://t.co/JOizh9xxvC #ad #blackfriday #amazon #echoshow #echo #afflink as an Amazon associate, I earn from qualifying purchases. https://t.co/5BLFptR55l",DecadesThru,"[u'ad', u'blackfriday', u'amazon', u'echoshow', u'echo', u'afflink']",994
2019-11-27 22:51:01,"RT @ MichelleRoseG33 https://t.co/JOizh9xxvC #ad #blackfriday #amazon #echoshow #echo #afflink as an Amazon associate, I earn from qualifying purchases. https://t.co/5BLFptR55l",vernhenze,"[u'ad', u'blackfriday', u'amazon', u'echoshow', u'echo', u'afflink']",9733
2019-11-27 22:51:00,It is expected to sell out quickly #Amazon #BlackFriday #deal #LOLsurprise https://t.co/K47IOsacUz,northwaleslive,"[u'Amazon', u'BlackFriday', u'deal', u'LOLsurprise']",100198
2019-11-27 22:50:08,"#BlackFriday: 2019 13"" 1.6GHz/128GB #Apple #MacBook Air for $899 at #Amazon, $200 off. MSRP. Free ship. https://t.co/NPKP3qSxDE",ApplePromo,"[u'BlackFriday', u'Apple', u'MacBook', u'Amazon']",504
2019-11-27 22:50:08,"More than 75,000 Spanish readers have already enjoyed Mark of Odin: The Awakening! Now its your turn in English! Awake to your real fate this #BlackFriday in #Amazon! #books #ScienceFiction #NorseMythology #NordicGods #transmedia #sagas https://t.co/LAilT2Yt05",MarkofOdin,"[u'BlackFriday', u'Amazon', u'books', u'ScienceFiction', u'NorseMythology', u'NordicGods', u'transmedia', u'sagas']",385
2019-11-27 22:50:06,"RT @ cyndusen LIFE IS JUST A TAFFY PULL is a funny story told in rhyme by main character, Taffy, who is sweet but a bit of a tart too. Add to Black Friday shopping basket.... #advertisement #BlackFriday  #tart #sweet Fits great in a holiday stocking! #Amazon https://t.co/GRj5yASfML",cyndusen,[],5625
