timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-27 19:24:02,FIMI Palm Handheld Gimbal Camera Powered By #Xiaomi https://t.co/CgaInHE1Ov  #Gearbest  #TanioNaAli #vk #GearbestBlackFriday #BlackFriday #CzarnyPiatek https://t.co/SZZG7M8aP6,TanioNaAli,"[u'Xiaomi', u'Gearbest', u'TanioNaAli', u'vk', u'GearbestBlackFriday', u'BlackFriday', u'CzarnyPiatek']",132
2019-11-27 17:37:07,RT @ SchmidtisBlog Gearbest startet Black Friday #Gearbest #BlackFriday https://t.co/m9MQePkCJL https://t.co/jEyKGh0Urc,BrigitteMaurer3,"[u'Gearbest', u'BlackFriday']",376
2019-11-27 15:30:14,Gearbest startet Black Friday #Gearbest #BlackFriday https://t.co/m9MQePkCJL https://t.co/jEyKGh0Urc,SchmidtisBlog,"[u'Gearbest', u'BlackFriday']",994
