timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-28 23:56:54,Ring Video Doorbell 2 with Echo Show 5 (Charcoal) You Save:$149.99 (52%) SHOP NOW: https://t.co/6U9qZjhCu7 #Amazon #Echo #USA #BlackFriday #AmazonDeals #BestBuyBlackFriday #deal https://t.co/5wK688HPtS,ShawnMi18762880,"[u'Amazon', u'Echo', u'USA', u'BlackFriday', u'AmazonDeals', u'BestBuyBlackFriday', u'deal']",2
2019-11-28 23:53:13,"#TCL 32-Inch 1080p #Roku Smart LED TV: $149.99 at #Amazon  Televisions with 1080p a rarity for #BlackFriday, at least when it comes to balancing a good price with a quality picture and ease-of-use.   View Deal | https://t.co/RbMjiAlq70 https://t.co/Ct0QKrJffV",shopinbrand,"[u'TCL', u'Roku', u'Amazon', u'BlackFriday']",1121
2019-11-28 23:52:51,RT @ goodbuysalltime #PawPatrol Toddler Boys Hooded Jacket &amp; Pants Set Size 4T Plus 6 Pack of No Show Socks #ad ➡️https://t.co/VBVZ3kMoT1⬅️ #BlackFriday #CyberMonday #Amazon #christmasgiftideas #GoodBuysAlltheTime https://t.co/TQaRRZ0OvU,themommyspice,"[u'PawPatrol', u'ad']",542
2019-11-28 23:52:43,Save 56% on an Echo Dot today only &amp; get it for $27 - https://t.co/7j8uYR87Hn - #onlineshopping #discount #save #savings #deal #onlinedeal #buynow #shopping #amazon #affiliatelink #echodot #dealoftheday #deepdiscount #todayonly #BlackFridaySale #blackfriday,KeeneyLucy,"[u'onlineshopping', u'discount', u'save', u'savings', u'deal', u'onlinedeal', u'buynow', u'shopping', u'amazon', u'affiliatelink', u'echodot', u'dealoftheday', u'deepdiscount', u'todayonly', u'BlackFridaySale', u'blackfriday']",3418
2019-11-28 23:52:21,RT @ express3lectric *** COMPETITION *** For your chance to win a Smart Video Doorbell worth £84    1. Like this post 2. Retweet this post  3. Make sure you're following us on Twitter / Facebook or Instagram for a chance to win  #BeatBlackFriday #BlackFriday #BlackFridaySale #Amazon #CyberMonday https://t.co/G2vxWC3NL1,Mikeeoctober,[],71
2019-11-28 23:51:41,Misplace your keys a lot? Tile trackers are for you then. Save up to 40% on them today - https://t.co/tbrIbITBce - #onlineshopping #discount #save #savings #deal #onlinedeal #buynow #shopping #amazon #affiliatelink #BlackFriday #blackfridaysale #DealoftheDay  #tiletracker,KeeneyLucy,"[u'onlineshopping', u'discount', u'save', u'savings', u'deal', u'onlinedeal', u'buynow', u'shopping', u'amazon', u'affiliatelink', u'BlackFriday', u'blackfridaysale', u'DealoftheDay', u'tiletracker']",3418
2019-11-28 23:51:37,"1Mii B06 Plus Bluetooth Receiver, HIFI Wireless Audio Adapter, Bluetooth 4.2 Receiver with 3D Surround aptX Low Latency for Home Music Streaming Stereo System (Upgraded With Power Adapter) Price:$20.22 https://t.co/R1IibQHyQE #gadsessories #Amazon #blackfriday https://t.co/4TKuAvVA6H",gadsessories,"[u'gadsessories', u'Amazon', u'blackfriday']",582
2019-11-28 23:51:25,"Check out Joseph Joseph Index Chopping Board Set, Large, Coast/Graphite by Joseph Joseph, in the Black Friday sales via @shcreations #affiliate #amazon #BlackFriday #blackfridaydeals #BlackFridaySale #josephjoseph   https://t.co/DofgIpXeIP https://t.co/mPyXo09FJ5",shcreations,"[u'affiliate', u'amazon', u'BlackFriday', u'blackfridaydeals', u'BlackFridaySale', u'josephjoseph']",1773
2019-11-28 23:50:03,"#BlackFriday: New 11"" 1TB WiFi #Apple #iPad Pros for $1249 at #Amazon. That's $100 off. Free ship. https://t.co/VAxkIJlv8o",MacClassifieds,"[u'BlackFriday', u'Apple', u'iPad', u'Amazon']",387
2019-11-28 23:48:00,RT @ ElidaSkinCare Black Friday 25% Off Anti-wrinkle Vitamin C cream #blackfriday #elidaskincare #amazon #skincare #skincareroutine #naturalskincare #organicskincare #skincareproducts #clearskin #antiwrinkle #antiaging #cream #antioxidant #jojobaoil #organic #naturalbeauty https://t.co/OYpfcfAMER https://t.co/9Ij9pGKG3z,GinaAlfani,"[u'blackfriday', u'elidaskincare', u'amazon', u'skincare', u'skincareroutine']",12504
