timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-28 23:57:32,Crazy at the @Walmart already! Black friday started early. Praying for all employees and law enforcement working tonight. And Good Luck! @Walmart @CartersvillePoliceDept #Walmart #blackfriday #wackidawen #Christmas https://t.co/GclRNwobWN,wackidawen,"[u'Walmart', u'blackfriday', u'wackidawen', u'Christmas']",12448
2019-11-28 23:54:19,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,darpaagent,"[u'BlackFriday', u'Walmart']",231
2019-11-28 23:54:13,#blackfriday #walmart #anxietypeak @ Walmart Athens https://t.co/DWIcckfjR8,TheRealLilTrip,"[u'blackfriday', u'walmart', u'anxietypeak']",104
2019-11-28 23:52:19,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,paulson_diane,"[u'BlackFriday', u'Walmart']",1273
2019-11-28 23:52:05,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,GroceryNews2day,"[u'BlackFriday', u'Walmart']",570
2019-11-28 23:49:09,This guy thinks he’s slick.  He been looking at the same hamburger patties for 30 minutes. He wants that TV. LMAO 😂  #walmart #blackfriday #ThereAreNoRules https://t.co/U7wyGNhgPO,TrillRaver,"[u'walmart', u'blackfriday', u'ThereAreNoRules']",1808
2019-11-28 23:47:37,"I'm really happy for the woman in the #Walmart commercial that doesn't get dehydrated, but I can't wait for Black Friday to be over so I never have to hear that commercial again. #BlackFriday",ashreec,"[u'Walmart', u'BlackFriday']",186
2019-11-28 23:47:26,Me trying to stop people from getting the last item I want at #Target and #Walmart on this #BlackFriday. https://t.co/She4YaGV6l,SantaClausII,"[u'Target', u'Walmart', u'BlackFriday']",174
2019-11-28 23:46:01,Planning on shopping at #Walmart for #BlackFriday? Here are our best hacks and shopping tips to save you money! 😎💸 https://t.co/PdrM4u9qZL https://t.co/bsNb2BT7VV,bradsdeals,"[u'Walmart', u'BlackFriday']",42962
2019-11-28 23:42:24,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,kkrz1211,"[u'BlackFriday', u'Walmart']",293
2019-11-28 23:40:06,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,joey95338424,"[u'BlackFriday', u'Walmart']",9
2019-11-28 23:39:44,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,LLC_1988,"[u'BlackFriday', u'Walmart']",1618
2019-11-28 23:39:32,Should I brave the lines at #Walmart to get some cheap #BlackFriday movies?,matthewhaugen,"[u'Walmart', u'BlackFriday']",532
2019-11-28 23:37:19,Black Friday Shopping with @ReginaStAmand for her birthday!🤪 #BlackFriday #Walmart #ThanksgivingShenanigans https://t.co/iUU09uc7l6,ls_ugirl,"[u'BlackFriday', u'Walmart', u'ThanksgivingShenanigans']",758
2019-11-28 23:36:37,All I wanted was a gallon of milk.   Forgot about Black Friday 🤦🏼‍♂️😱  #blackfriday #why #somanypeople #walmart #walmartblackfriday #peopleofwalmart #reallife #vanscotty #gohome https://t.co/xJYR6SHp0X,VanScottyTeam,"[u'blackfriday', u'why', u'somanypeople', u'walmart', u'walmartblackfriday', u'peopleofwalmart', u'reallife', u'vanscotty', u'gohome']",72
2019-11-28 23:35:32,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,MrWickwire,"[u'BlackFriday', u'Walmart']",2039
2019-11-28 23:29:36,@Walmart have alot of online deals right now I purchased my mother alot of @ayeshacurry cookware for the low compared to normal pricing #Thanksgiving #Deals #Walmart #BlackFriday #CyberMonday #Discount #Cookware #AyeshaCurry,ShiAnna_913,"[u'Thanksgiving', u'Deals', u'Walmart', u'BlackFriday', u'CyberMonday', u'Discount', u'Cookware', u'AyeshaCurry']",4425
2019-11-28 23:23:57,RT @ CassandraRules They ripped them open 5 min early out of no where #BlackFriday #Walmart https://t.co/MGbBZpLdas,TheJavcore,"[u'BlackFriday', u'Walmart']",1030
